scope,pair,contrast,window,n_subjects,mean_x,mean_y,diff,sd_diff,t,p_ttest,p_wilcoxon,cohen_dz,n_x_better,n_y_better,n_ties,p_holm
pair,WFE_SPS,B+CWT - B,3000,18,61.79784,70.794753,-8.996914,12.001267,-3.180554,0.005472,0.008589,-0.749664,3,14,1,1.0
pair,WFE_SPS,B+CWT - B,4000,18,61.612654,68.765432,-7.152778,10.954498,-2.770247,0.0131,0.021346,-0.652954,4,12,2,1.0
pair,WFE_SPS,B+CWT - B,avg,18,62.964892,69.045139,-6.080247,7.060528,-3.653594,0.001966,0.001045,-0.86116,2,16,0,0.603861
pair,WFE_SPS,B+CWT - A,800,18,60.95679,67.692901,-6.736111,9.045828,-3.159346,0.005727,0.010406,-0.744665,4,14,0,1.0
pair,WFE_SPS,B+CWT - A,1500,18,67.492284,69.521605,-2.029321,7.640618,-1.12683,0.275469,0.265851,-0.265596,6,10,2,1.0
pair,WFE_SPS,B+CWT - A,3000,18,61.79784,69.12037,-7.322531,12.13836,-2.559396,0.020313,0.02446,-0.603255,4,13,1,1.0
pair,WFE_SPS,B+CWT - A,4000,18,61.612654,70.91821,-9.305556,10.890685,-3.625128,0.002092,0.003365,-0.854451,4,14,0,0.637953
pair,WFE_SPS,B+CWT - A,avg,18,62.964892,69.313272,-6.34838,7.32446,-3.677253,0.001868,0.003086,-0.866737,3,14,1,0.578541
pair,WFE_SAA,A - B,800,18,64.714506,64.459877,0.25463,6.783804,0.159247,0.875351,1.0,0.037535,8,10,0,1.0
pair,WFE_SAA,A - B,1500,18,72.029321,68.449074,3.580247,6.11604,2.483584,0.023731,0.022843,0.585386,12,5,1,1.0
pair,WFE_SAA,A - B,3000,18,70.787037,68.078704,2.708333,9.327083,1.231948,0.234737,0.367418,0.290373,8,9,1,1.0
pair,WFE_SAA,A - B,4000,18,69.521605,69.020062,0.501543,6.207671,0.34278,0.735966,0.924488,0.080794,7,10,1,1.0
pair,WFE_SAA,A - B,avg,18,69.263117,67.501929,1.761188,4.024956,1.85644,0.080808,0.114587,0.437567,11,5,2,1.0
pair,WFE_SAA,B+CWT - B,800,18,58.780864,64.459877,-5.679012,10.445862,-2.30656,0.033939,0.034233,-0.543661,4,14,0,1.0
pair,WFE_SAA,B+CWT - B,1500,18,62.276235,68.449074,-6.17284,8.785812,-2.980844,0.00839,0.010406,-0.702592,4,14,0,1.0
pair,WFE_SAA,B+CWT - B,3000,18,62.53858,68.078704,-5.540123,10.339517,-2.273293,0.036266,0.047715,-0.53582,4,10,4,1.0
pair,WFE_SAA,B+CWT - B,4000,18,64.074074,69.020062,-4.945988,9.712546,-2.160509,0.045301,0.058983,-0.509237,5,11,2,1.0
pair,WFE_SAA,B+CWT - B,avg,18,61.917438,67.501929,-5.584491,7.212025,-3.285206,0.004367,0.003365,-0.774331,4,14,0,1.0
pair,WFE_SAA,B+CWT - A,800,18,58.780864,64.714506,-5.933642,9.475847,-2.656682,0.016608,0.020813,-0.626186,3,15,0,1.0
pair,WFE_SAA,B+CWT - A,1500,18,62.276235,72.029321,-9.753086,10.761193,-3.845191,0.001297,0.001045,-0.90632,3,15,0,0.417682
pair,WFE_SAA,B+CWT - A,3000,18,62.53858,70.787037,-8.248457,11.241084,-3.113155,0.006324,0.010454,-0.733778,4,12,2,1.0
pair,WFE_SAA,B+CWT - A,4000,18,64.074074,69.521605,-5.447531,12.757564,-1.811625,0.087748,0.209292,-0.427004,8,9,1,1.0
